Time,Lambda,Alpha,Stress_Model(MPa),Stress_NH(MPa),Phase
34.5,1.116,1,0.14316,0.000263971,4_ActiveUnload
34.6,1.114,1,0.141121,0.000259386,4_ActiveUnload
34.7,1.112,1,0.139104,0.000254803,4_ActiveUnload
34.8,1.11,1,0.137108,0.000250221,4_ActiveUnload
34.9,1.108,1,0.135133,0.000245641,4_ActiveUnload
35,1.106,1,0.13318,0.000241063,4_ActiveUnload
35.1,1.104,1,0.131248,0.000236486,4_ActiveUnload
35.2,1.102,1,0.129337,0.000231911,4_ActiveUnload
35.3,1.1,1,0.127448,0.000227337,4_ActiveUnload
35.4,1.098,1,0.12558,0.000222765,4_ActiveUnload
35.5,1.096,1,0.123733,0.000218194,4_ActiveUnload
35.6,1.094,1,0.121907,0.000213625,4_ActiveUnload
35.7,1.092,1,0.120102,0.000209057,4_ActiveUnload
35.8,1.09,1,0.118317,0.00020449,4_ActiveUnload
35.9,1.088,1,0.116553,0.000199925,4_ActiveUnload
36,1.086,1,0.114809,0.000195361,4_ActiveUnload
36.1,1.084,1,0.113085,0.000190799,4_ActiveUnload
36.2,1.082,1,0.111381,0.000186238,4_ActiveUnload
36.3,1.08,1,0.109696,0.000181678,4_ActiveUnload
36.4,1.078,1,0.10803,0.00017712,4_ActiveUnload
36.5,1.076,1,0.106383,0.000172562,4_ActiveUnload
36.6,1.074,1,0.104755,0.000168006,4_ActiveUnload
36.7,1.072,1,0.103145,0.000163451,4_ActiveUnload
36.8,1.07,1,0.101553,0.000158897,4_ActiveUnload
36.9,1.068,1,0.0999788,0.000154344,4_ActiveUnload
37,1.066,1,0.0984217,0.000149793,4_ActiveUnload
37.1,1.064,1,0.0968814,0.000145242,4_ActiveUnload
37.2,1.062,1,0.0953578,0.000140693,4_ActiveUnload
37.3,1.06,1,0.0938503,0.000136144,4_ActiveUnload
37.4,1.058,1,0.0923587,0.000131596,4_ActiveUnload
37.5,1.056,1,0.0908826,0.00012705,4_ActiveUnload
37.6,1.054,1,0.0894216,0.000122504,4_ActiveUnload
37.7,1.052,1,0.0879753,0.000117959,4_ActiveUnload
37.8,1.05,1,0.0865435,0.000113415,4_ActiveUnload
37.9,1.048,1,0.0851256,0.000108872,4_ActiveUnload
38,1.046,1,0.0837214,0.000104329,4_ActiveUnload
38.1,1.044,1,0.0823305,9.97876e-05,4_ActiveUnload
38.2,1.042,1,0.0809525,9.52467e-05,4_ActiveUnload
38.3,1.04,1,0.0795871,9.07065e-05,4_ActiveUnload
38.4,1.038,1,0.0782338,8.61669e-05,4_ActiveUnload
38.5,1.036,1,0.0768923,8.1628e-05,4_ActiveUnload
38.6,1.034,1,0.0755624,7.70897e-05,4_ActiveUnload
38.7,1.032,1,0.0742435,7.2552e-05,4_ActiveUnload
38.8,1.03,1,0.0729354,6.80148e-05,4_ActiveUnload
38.9,1.028,1,0.0716377,6.34781e-05,4_ActiveUnload
39,1.026,1,0.0703501,5.89419e-05,4_ActiveUnload
39.1,1.024,1,0.0690723,5.44062e-05,4_ActiveUnload
39.2,1.022,1,0.0678038,4.98709e-05,4_ActiveUnload
39.3,1.02,1,0.0665444,4.53359e-05,4_ActiveUnload
39.4,1.018,1,0.0652938,4.08013e-05,4_ActiveUnload
39.5,1.016,1,0.0640517,3.6267e-05,4_ActiveUnload
39.6,1.014,1,0.0628176,3.1733e-05,4_ActiveUnload
39.7,1.012,1,0.0615914,2.71993e-05,4_ActiveUnload
39.8,1.01,1,0.0603727,2.26657e-05,4_ActiveUnload
39.9,1.008,1,0.0591613,1.81324e-05,4_ActiveUnload
40,1.006,1,0.0579568,1.35992e-05,4_ActiveUnload
40.1,1.004,1,0.056759,9.06605e-06,4_ActiveUnload
40.2,1.002,1,0.0555676,4.53301e-06,4_ActiveUnload
40.3,1,1,0.0543823,0,4_ActiveUnload
